Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
39 3100.00 1141.10 83.570791 50.8389 1.0188 16.7817 1.345 0 5.59107 0.191454 4.39266 0 0 9.29318 2.53007 5.62397 0 2.39318 0
40 3100.00 1140.10 83.245548 50.8442 1.01955 16.8259 1.34457 0 5.59035 0.192202 4.35417 0 0 9.24131 2.53926 5.64595 0 2.40253 0
41 3100.00 1139.10 82.923663 50.8498 1.02024 16.8698 1.34411 0 5.5895 0.192949 4.31594 0 0 9.18959 2.54842 5.66786 0 2.41186 0
42 3100.00 1138.10 82.605093 50.8555 1.02088 16.9134 1.34364 0 5.58852 0.193693 4.27795 0 0 9.13803 2.55755 5.68972 0 2.42116 0
43 3100.00 1137.10 82.289798 50.8613 1.02147 16.9568 1.34314 0 5.58741 0.194435 4.24021 0 0 9.08662 2.56665 5.71152 0 2.43043 0
44 3100.00 1136.10 81.977735 50.8674 1.022 16.9999 1.34263 0 5.58618 0.195175 4.20272 0 0 9.03537 2.57573 5.73326 0 2.43969 0
45 3100.00 1135.10 81.668865 50.8736 1.02248 17.0427 1.3421 0 5.58481 0.195913 4.16547 0 0 8.98427 2.58477 5.75495 0 2.44891 0
46 3100.00 1134.10 81.363148 50.88 1.02291 17.0853 1.34155 0 5.58333 0.196649 4.12847 0 0 8.93333 2.59378 5.77657 0 2.45812 0
47 3100.00 1133.10 81.060545 50.8866 1.02328 17.1276 1.34098 0 5.58171 0.197383 4.09172 0 0 8.88255 2.60276 5.79814 0 2.46729 0
48 3100.00 1132.10 80.761016 50.8933 1.0236 17.1697 1.34039 0 5.57998 0.198115 4.05521 0 0 8.83192 2.61172 5.81964 0 2.47644 0
49 3100.00 1131.10 80.464524 50.9002 1.02386 17.2115 1.33979 0 5.57812 0.198845 4.01895 0 0 8.78146 2.62064 5.84108 0 2.48557 0
50 3100.00 1130.10 80.171032 50.9073 1.02406 17.253 1.33916 0 5.57613 0.199573 3.98294 0 0 8.73115 2.62953 5.86247 0 2.49467 0
51 3100.00 1129.10 79.880503 50.9145 1.02422 17.2943 1.33852 0 5.57403 0.200299 3.94717 0 0 8.68101 2.63839 5.88379 0 2.50374 0
52 3100.00 1128.10 79.592899 50.9219 1.02431 17.3354 1.33786 0 5.5718 0.201023 3.91165 0 0 8.63103 2.64722 5.90505 0 2.51279 0
53 3100.00 1127.10 79.308185 50.9295 1.02436 17.3761 1.33719 0 5.56945 0.201745 3.87638 0 0 8.58121 2.65602 5.92625 0 2.52181 0
54 3100.00 1126.10 79.026327 50.9372 1.02434 17.4166 1.33649 0 5.56698 0.202464 3.84135 0 0 8.53156 2.66479 5.94738 0 2.5308 0
55 3100.00 1125.10 78.747288 50.9451 1.02427 17.4569 1.33578 0 5.56439 0.203182 3.80656 0 0 8.48207 2.67352 5.96846 0 2.53977 0
56 3100.00 1124.10 78.471035 50.9532 1.02415 17.4969 1.33505 0 5.56168 0.203897 3.77202 0 0 8.43274 2.68223 5.98947 0 2.54871 0
57 3100.00 1123.10 78.197534 50.9614 1.02397 17.5366 1.33431 0 5.55885 0.20461 3.73773 0 0 8.38358 2.6909 6.01042 0 2.55763 0
58 3100.00 1122.10 77.926752 50.9698 1.02373 17.5761 1.33354 0 5.55591 0.205321 3.70368 0 0 8.33458 2.69954 6.0313 0 2.56651 0
59 3100.00 1121.10 77.658655 50.9783 1.02344 17.6153 1.33277 0 5.55285 0.20603 3.66987 0 0 8.28575 2.70816 6.05213 0 2.57537 0
60 3100.00 1120.10 77.393211 50.987 1.02309 17.6543 1.33197 0 5.54967 0.206736 3.63631 0 0 8.23709 2.71674 6.07288 0 2.58421 0
61 3100.00 1119.10 77.130389 50.9959 1.02268 17.693 1.33116 0 5.54638 0.207441 3.60299 0 0 8.1886 2.72528 6.09358 0 2.59301 0
62 3100.00 1118.10 76.870157 51.0049 1.02222 17.7314 1.33033 0 5.54297 0.208143 3.56991 0 0 8.14027 2.7338 6.11421 0 2.60179 0
63 3100.00 1117.10 76.612484 51.0141 1.0217 17.7696 1.32949 0 5.53945 0.208843 3.53708 0 0 8.09211 2.74228 6.13477 0 2.61054 0
64 3100.00 1116.10 76.357339 51.0234 1.02112 17.8076 1.32863 0 5.53582 0.209541 3.50448 0 0 8.04413 2.75073 6.15527 0 2.61926 0
65 3100.00 1115.10 76.104693 51.0329 1.02049 17.8453 1.32776 0 5.53207 0.210237 3.47213 0 0 7.99631 2.75915 6.1757 0 2.62796 0
66 3100.00 1114.10 75.854516 51.0426 1.0198 17.8827 1.32687 0 5.52822 0.21093 3.44002 0 0 7.94866 2.76754 6.19607 0 2.63663 0
67 3100.00 1113.10 75.606778 51.0524 1.01905 17.9199 1.32596 0 5.52425 0.211621 3.40815 0 0 7.90118 2.7759 6.21637 0 2.64527 0
68 3100.00 1112.10 75.361451 51.0623 1.01824 17.9568 1.32504 0 5.52017 0.21231 3.37653 0 0 7.85387 2.78422 6.23661 0 2.65388 0
69 3100.00 1111.10 75.118506 51.0725 1.01738 17.9935 1.3241 0 5.51598 0.212997 3.34514 0 0 7.80674 2.79251 6.25678 0 2.66246 0
70 3100.00 1110.10 74.877915 51.0827 1.01646 18.0299 1.32315 0 5.51169 0.213681 3.31399 0 0 7.75978 2.80077 6.27688 0 2.67101 0
71 3100.00 1109.10 74.639651 51.0931 1.01548 18.066 1.32219 0 5.50729 0.214363 3.28307 0 0 7.71298 2.80899 6.29692 0 2.67954 0
72 3100.00 1108.10 74.403687 51.1037 1.01444 18.1019 1.32121 0 5.50278 0.215043 3.2524 0 0 7.66637 2.81718 6.31689 0 2.68804 0
73 3100.00 1107.10 74.169996 51.1144 1.01335 18.1376 1.32022 0 5.49816 0.215721 3.22197 0 0 7.61992 2.82534 6.33679 0 2.69651 0
74 3100.00 1106.10 73.938551 51.1253 1.0122 18.173 1.31921 0 5.49345 0.216396 3.19177 0 0 7.57365 2.83347 6.35663 0 2.70495 0
75 3100.00 1105.10 73.709327 51.1363 1.01099 18.2082 1.31819 0 5.48862 0.217069 3.16181 0 0 7.52755 2.84156 6.3764 0 2.71336 0
76 3100.00 1104.10 73.482298 51.1474 1.00972 18.2431 1.31715 0 5.4837 0.21774 3.13208 0 0 7.48162 2.84963 6.3961 0 2.72174 0
77 3100.00 1103.10 73.257438 51.1587 1.00839 18.2778 1.3161 0 5.47867 0.218408 3.10259 0 0 7.43587 2.85765 6.41573 0 2.7301 0
78 3100.00 1102.10 73.034723 51.1702 1.007 18.3122 1.31504 0 5.47354 0.219074 3.07334 0 0 7.3903 2.86565 6.43529 0 2.73842 0
79 3100.00 1101.10 72.814129 51.1818 1.00556 18.3463 1.31397 0 5.46831 0.219738 3.04431 0 0 7.3449 2.87361 6.45479 0 2.74672 0
80 3100.00 1100.10 72.595630 51.1935 1.00405 18.3803 1.31288 0 5.46297 0.220399 3.01553 0 0 7.29967 2.88154 6.47422 0 2.75499 0
81 3100.00 1099.10 72.379204 51.2054 1.00249 18.4139 1.31178 0 5.45754 0.221058 2.98697 0 0 7.25462 2.88944 6.49358 0 2.76322 0
82 3100.00 1098.10 72.164827 51.2174 1.00087 18.4474 1.31066 0 5.45202 0.221715 2.95865 0 0 7.20975 2.8973 6.51287 0 2.77143 0
83 3100.00 1097.10 71.952476 51.2295 0.999185 18.4805 1.30953 0 5.44639 0.222369 2.93056 0 0 7.16505 2.90513 6.53209 0 2.77961 0
84 3100.00 1096.10 71.742129 51.2418 0.997444 18.5135 1.30839 0 5.44067 0.223021 2.9027 0 0 7.12053 2.91292 6.55124 0 2.78776 0
85 3100.00 1095.10 71.533762 51.2543 0.995644 18.5462 1.30724 0 5.43485 0.223671 2.87507 0 0 7.07618 2.92069 6.57032 0 2.79588 0
86 3100.00 1094.10 71.327353 51.2668 0.993785 18.5786 1.30608 0 5.42894 0.224318 2.84767 0 0 7.03201 2.92842 6.58934 0 2.80397 0
87 3100.00 1093.10 71.122882 51.2796 0.991866 18.6108 1.3049 0 5.42294 0.224963 2.8205 0 0 6.98802 2.93611 6.60828 0 2.81203 0
88 3100.00 1092.10 70.920327 51.2924 0.989888 18.6428 1.30371 0 5.41684 0.225605 2.79355 0 0 6.94421 2.94377 6.62715 0 2.82007 0
89 3100.00 1091.10 70.719666 51.3054 0.98785 18.6745 1.30251 0 5.41065 0.226245 2.76684 0 0 6.90057 2.9514 6.64596 0 2.82807 0
90 3100.00 1090.10 70.520879 51.3185 0.985752 18.706 1.3013 0 5.40437 0.226883 2.74035 0 0 6.85711 2.959 6.66469 0 2.83604 0
91 3100.00 1089.10 70.323946 51.3317 0.983594 18.7373 1.30008 0 5.398 0.227519 2.71409 0 0 6.81383 2.96656 6.68336 0 2.84398 0
92 3100.00 1088.10 70.128846 51.3451 0.981377 18.7683 1.29885 0 5.39154 0.228151 2.68805 0 0 6.77072 2.97409 6.70195 0 2.85189 0
93 3100.00 1087.10 69.935560 51.3586 0.979099 18.799 1.2976 0 5.38499 0.228782 2.66224 0 0 6.7278 2.98159 6.72047 0 2.85978 0
94 3100.00 1086.10 69.744068 51.3723 0.976762 18.8296 1.29635 0 5.37836 0.22941 2.63665 0 0 6.68505 2.98905 6.73892 0 2.86763 0
95 3100.00 1085.10 69.554351 51.386 0.974364 18.8599 1.29508 0 5.37164 0.230036 2.61129 0 0 6.64248 2.99648 6.75731 0 2.87545 0
96 3100.00 1084.10 69.366390 51.3999 0.971906 18.8899 1.2938 0 5.36483 0.230659 2.58614 0 0 6.60009 3.00387 6.77562 0 2.88324 0
97 3100.00 1083.10 69.180168 51.4139 0.969388 18.9197 1.29252 0 5.35794 0.23128 2.56122 0 0 6.55788 3.01123 6.79385 0 2.891 0
98 3100.00 1082.10 68.995664 51.4281 0.96681 18.9493 1.29122 0 5.35097 0.231899 2.53653 0 0 6.51585 3.01856 6.81202 0 2.89873 0
99 3100.00 1081.10 68.812862 51.4424 0.964171 18.9787 1.28991 0 5.34391 0.232515 2.51205 0 0 6.47399 3.02585 6.83012 0 2.90643 0
100 3100.00 1080.10 68.631744 51.4568 0.961472 19.0078 1.2886 0 5.33678 0.233128 2.48779 0 0 6.43232 3.03311 6.84814 0 2.9141 0
